Headline,Topic,Tags,Authors,Date,Content,Location
"ماكرون يعرب عن ""تصميمه"" على تأمين إطلاق سراح رهائن فرنسيين محتجزين في غزة",تنبيه,,أ ف ب,2023-11-24T19:21:41+0000,"ماكرون يعرب عن ""تصميمه"" على تأمين إطلاق سراح رهائن فرنسيين محتجزين في غزة
ففف/ح س/كام","باريس, FRA"
"بايدن يجدد الدعوة للعمل على ""حل الدولتين""",تنبيه,,أ ف ب,2023-11-24T19:28:53+0000,"بايدن يجدد الدعوة للعمل على ""حل الدولتين""
او/كام/ص ك","نانتاكت, USA"
"بايدن يؤكد وجود ""فرص حقيقية"" لتمديد الهدنة في قطاع غزة",تنبيه,,أ ف ب,2023-11-24T19:31:53+0000,"بايدن يؤكد وجود ""فرص حقيقية"" لتمديد الهدنة في قطاع غزة
او/كام/ص ك","نانتاكت, USA"
مذكرة,مذكرة,,أ ف ب,2023-11-25T00:00:01+0000,"يمنع استخدام مواد النشرة الإخبارية من دون عقد اشتراك مع وكالة فرانس برس.
ا ف ب/جص","نيقوسيا, CYP"
موضوع إضافي متوقع الجمعة 24 تشرين الثاني/نوفمبر 2023,توقعات,,أ ف ب,2023-11-25T00:00:12+0000,"كندا/الاتحاد الاوروبي/اوكرانيا/سياسة/دبلوماسية/قمة/اقتصاد/علوم/نزاع
سانت جونز (كندا)
- عرضت كندا والاتحاد الأوروبي الجمعة دعمهما ""الثابت"" لأوكرانيا في محاربة الغزو الروسي وتعهدا مكافحة تغير المناخ قبل أيام فقط من قمة حول هذا الموضوع. 
(محصلة) =(صور+فيديو)=
تم بثه
ا ف ب/جص/ح س","نيقوسيا, CYP"
الشرطي المدان بقتل جورج فلويد يتعرض للطعن في السجن (وسائل إعلام أميركية),تنبيه,,أ ف ب,2023-11-25T03:52:12+0000,"الشرطي المدان بقتل جورج فلويد يتعرض للطعن في السجن (وسائل إعلام أميركية)
بور-ايم/جص","واشنطن, USA"
كييف تؤكد إسقاط 71 مسيّرة روسية ليل الجمعة السبت,تنبيه,,أ ف ب,2023-11-25T07:36:54+0000,"كييف تؤكد إسقاط 71 مسيّرة روسية ليل الجمعة السبت
بور/غ ر/نور","كييف, UKR"
هجوم المسيّرات الروسية كان الأكبر على كييف منذ بدء الغزو (سلطات),تنبيه,,أ ف ب,2023-11-25T07:41:03+0000,"هجوم المسيّرات الروسية كان الأكبر على كييف منذ بدء الغزو (سلطات)
بور/غ ر","كييف, UKR"
كييف تؤكد إسقاط 71 مسيّرة روسية في أكبر هجوم على العاصمة منذ الغزو,اوكرانيا/نزاعات/روسيا,,أ ف ب,2023-11-25T07:49:32+0000,"أعلنت أوكرانيا السبت انها أسقطت 71 مسيّرة روسية ليلا في ما وصفته سلطات كييف بأنه أكبر هجوم من نوعه على العاصمة منذ بدء الغزو.
وقال سلاح الجو الأوكراني على وسائل التواصل الاجتماعي إن ""سلاح الجو دمر 71 مسيّرة من نوع شاهد 131/136 وغالبيتها الكبرى دمرت في منطقة كييف"".
بور/نور/غ ر","كييف, UKR"
اسرائيل ستفرج السبت عن 42 معتقلا فلسطينيا (السلطات الإسرائيلية),تنبيه,,أ ف ب,2023-11-25T08:40:58+0000,"اسرائيل ستفرج السبت عن 42 معتقلا فلسطينيا (السلطات الإسرائيلية)
دمس-دلا/غ ر/كام","القدس, ZZZ"
حماس ستفرج عن 14 رهينة السبت (مسؤول إسرائيلي),تنبيه,,أ ف ب,2023-11-25T08:44:48+0000,"حماس ستفرج عن 14 رهينة السبت (مسؤول إسرائيلي)
دمس-دلا/كام/غ ر","تل ابيب, ISR"
سفينة مملوكة لرجل أعمال إسرائيلي تتعرض لهجوم يشتبه بأنه بمسيّرة إيرانية (مسؤول عسكري أميركي),تنبيه,,أ ف ب,2023-11-25T09:39:41+0000,"سفينة مملوكة لرجل أعمال إسرائيلي تتعرض لهجوم يشتبه بأنه بمسيّرة إيرانية (مسؤول عسكري أميركي)
ته-كسب/كام/غ ر","دبي, ARE"
"رئيس مؤتمر كوب28: على كل الصناعات ""المساهمة"" في خفض الانبعاثات و""الخضوع للمحاسبة""",تنبيه,,أ ف ب,2023-11-25T14:01:48+0000,"رئيس مؤتمر كوب28: على كل الصناعات ""المساهمة"" في خفض الانبعاثات و""الخضوع للمحاسبة""
بل-اكو/غ ر/كام","باريس, FRA"
"مصدر في حماس يؤكد بدء ""تسليم الدفعة الثانية من الرهائن الاسرائيليين""",تنبيه,,أ ف ب,2023-11-25T15:56:50+0000,"مصدر في حماس يؤكد بدء ""تسليم الدفعة الثانية من الرهائن الاسرائيليين""
ع ز/ماب/كام","غزة, PSE"
مسؤولون إسرائيليون يؤكدون أن الدفعة الثانية من الرهائن لم تسلّم حتى الآن للصليب الاحمر,تنبيه,,أ ف ب,2023-11-25T16:27:41+0000,"مسؤولون إسرائيليون يؤكدون أن الدفعة الثانية من الرهائن لم تسلّم حتى الآن للصليب الاحمر
هو/ماب/ب ق","تل ابيب, ISR"
"حماس تقرر تأخير إطلاق الدفعة الثانية من الرهائن ""حتى يلتزم الاحتلال ببنود الاتفاق""",تنبيه,,أ ف ب,2023-11-25T16:29:09+0000,"حماس تقرر تأخير إطلاق الدفعة الثانية من الرهائن ""حتى يلتزم الاحتلال ببنود الاتفاق""
ع ز/ماب/ب ق","غزة, PSE"
"الوسيط القطري: سيتم الإفراج ""الليلة"" عن 13 إسرائيليا و7 أجانب محتجزين في غزة و39 مدنيا فلسطينيا",تنبيه,,أ ف ب,2023-11-25T19:01:25+0000,"الوسيط القطري: سيتم الإفراج ""الليلة"" عن 13 إسرائيليا و7 أجانب محتجزين في غزة و39 مدنيا فلسطينيا
كب/ب ق/رض","الدوحة, QAT"
حماس تؤكد أن الإفراج عن الدفعة الثانية من الرهائن سيتم السبت,تنبيه,,أ ف ب,2023-11-25T19:02:03+0000,"حماس تؤكد أن الإفراج عن الدفعة الثانية من الرهائن سيتم السبت
مي-ماب/ب ق","غزة, PSE"
القسام تعلن تسليمها 13 رهينة اسرائيلية و7 من حملة الجنسيات الأجنبية للصليب الاحمر,تنبيه,,أ ف ب,2023-11-25T21:02:38+0000,"القسام تعلن تسليمها 13 رهينة اسرائيلية و7 من حملة الجنسيات الأجنبية للصليب الاحمر
ع ز/ماب/ب ق","غزة, PSE"
وصول الرهائن المفرج عنهم من قطاع غزة الى مصر (التلفزيون المصري),تنبيه,,أ ف ب,2023-11-25T21:39:51+0000,"وصول الرهائن المفرج عنهم من قطاع غزة الى مصر (التلفزيون المصري)
ماب/ب ق","القاهرة, EGY"
وصول الرهائن المفرج عنهم من غزة إلى الأراضي الإسرائيلية (الجيش),اسرائيل/فلسطينيون/مفقودون/نزاع,,أ ف ب,2023-11-25T22:14:57+0000,"أعلن الجيش الإسرائيلي أن المجموعة الثانية من الرهائن الذين أفرجت عنهم حركة حماس من قطاع غزة وصلت إلى إسرائيل مساء السبت.
ووفق السلطات المصرية والإسرائيلية، أطلق سراح 13 رهينة إسرائيلية في إطار اتفاق الهدنة بين إسرائيل وحماس، كما أفرجت الحركة الإسلامية عن أربعة رهائن تايلانديين.
يبز/ح س/جص","القدس, ZZZ"
سلطات السجون الإسرائيلية تعلن إطلاق سراح 39 فلسطينيا بموجب الاتفاق مع حماس,تنبيه,,أ ف ب,2023-11-25T22:41:58+0000,"سلطات السجون الإسرائيلية تعلن إطلاق سراح 39 فلسطينيا بموجب الاتفاق مع حماس 
ميب/ح س/جص","القدس, ZZZ"
"برلين ""تشعر بالارتياح"" لإطلاق حماس سراح دفعة جديدة من الرهائن بينهم 4 ألمان إسرائيليين (وزير)",تنبيه,,أ ف ب,2023-11-25T23:16:43+0000,"برلين ""تشعر بالارتياح"" لإطلاق حماس سراح دفعة جديدة من الرهائن بينهم 4 ألمان إسرائيليين (وزير)
سلب/جص/ح س","برلين, DEU"
مذكرة,مذكرة,,أ ف ب,2023-11-26T00:00:06+0000,"يمنع استخدام مواد النشرة الإخبارية من دون عقد اشتراك مع وكالة فرانس برس.
ا ف ب/جص","نيقوسيا, CYP"
هجوم على مخزن أسلحة في عاصمة سيراليون والحكومة تعلن حظرا للتجول في البلاد,تنبيه,,أ ف ب,2023-11-26T08:13:38+0000,"هجوم على مخزن أسلحة في عاصمة سيراليون والحكومة تعلن حظرا للتجول في البلاد
سب-لال/كام/شي","فريتاون, SLE"
هجوم على مخزن أسلحة في عاصمة سيراليون والحكومة تعلن حظرا للتجول في البلاد,سيراليون/سياسة/جيش,,أ ف ب,2023-11-26T08:24:44+0000,"فرضت حكومة سيراليون الأحد حظرا للتجول في عموم البلاد بعد هجوم ومحاولة للسيطرة على مخزن أسلحة للجيش في العاصمة فريتاون أكدت نجاحها في صدّه.
وأفاد شهود لمراسل وكالة فرانس برس عن سماع أصوات إطلاق نار وانفجارات في حي ويلبرفوس حيث يقع المخزن المستهدف.
سب-لال/كام/شي","فريتاون, SLE"
